# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	389086
#@/user_id	mac
a 	啊	c=2090 d=6.0343 t=389086
yi ping 	一瓶	c=1 d=3.5159e-263 t=389086
yi ping guo 	一瓶过	c=1 d=3.53352e-262 t=389086
yi qi 	一期	c=7 d=3.56426e-70 t=389086
yi qi 	一起	c=79 d=0.0968215 t=389086
yi qi jiu xing 	一起就行	c=1 d=1.20007e-28 t=389086
yi qi me 	一起么	c=1 d=1.36668e-28 t=389086
yi qian 	一千	c=3 d=5.45778e-24 t=389086
yi qian 	以前	c=581 d=0.758406 t=389086
yi qie 	一切	c=4 d=2.85789e-236 t=389086
yi qing 	疫情	c=4 d=2.681e-14 t=389086
yi qing er chu 	一清二楚	c=1 d=1.50192e-138 t=389086
yi qu 	一区	c=1 d=6.97422e-173 t=389086
yi quan 	一圈	c=1 d=7.057e-107 t=389086
yi qun 	一群	c=9 d=0.00782838 t=389086
yi ren 	艺人	c=1 d=8.35027e-262 t=389086
yi ru ji wang 	一如既往	c=1 d=1.34305e-205 t=389086
yi seng 	一僧	c=1 d=2.77075e-19 t=389086
yi shang 	以上	c=19 d=5.79607e-55 t=389086
yi shang wu 	一上无	c=1 d=7.38684e-114 t=389086
yi shen 	一身	c=1 d=6.66161e-16 t=389086
yi sheng 	一声	c=5 d=3.65698e-78 t=389086
yi sheng 	医生	c=5 d=6.95357e-50 t=389086
yi shi 	一时	c=1 d=1.86445e-123 t=389086
yi shi 	一是	c=2 d=3.77352e-241 t=389086
yi shi 	意识	c=8 d=2.52402e-10 t=389086
yi shi ban hui 	一时半会	c=5 d=0.000107287 t=389086
yi shi zhu xing 	衣食住行	c=1 d=1.46026e-160 t=389086
yi shou 	一手	c=2 d=2.52694e-53 t=389086
yi shun jian 	一瞬间	c=9 d=2.51215e-28 t=389086
yi shuo 	一说	c=5 d=1.23595e-51 t=389086
yi si 	已死	c=1 d=1.53194e-18 t=389086
yi si 	意思	c=322 d=0.310101 t=389086
yi si 	疑似	c=1 d=5.44872e-122 t=389086
yi tai 	一台	c=32 d=0.000249763 t=389086
yi tao 	一套	c=20 d=2.44593e-52 t=389086
yi ti ji 	一体机	c=2 d=0 t=389086
yi tian 	一天	c=232 d=0.57695 t=389086
yi tiao 	一条	c=88 d=0.037068 t=389086
yi tiao 	一跳	c=2 d=3.76967e-229 t=389086
yi tiao long 	一条龙	c=2 d=4.19995e-89 t=389086
yi tong 	一通	c=1 d=1.4187e-232 t=389086
yi tui 	一推	c=1 d=2.04755e-225 t=389086
yi wai 	以外	c=4 d=2.44662e-261 t=389086
yi wan 	一万	c=6 d=1.17855e-21 t=389086
yi wan 	一晚	c=1 d=0 t=389086
yi wan 	亿万	c=1 d=7.08634e-96 t=389086
yi wan shang 	一晚上	c=3 d=3.95806e-97 t=389086
yi wang 	以往	c=2 d=3.65651e-194 t=389086
yi wei 	一位	c=14 d=6.50858e-111 t=389086
yi wei 	以为	c=92 d=0.484325 t=389086
yi wei 	移位	c=1 d=0 t=389086
yi wen 	一问	c=3 d=2.46901e-133 t=389086
yi wen 	疑问	c=1 d=9.84961e-293 t=389086
yi wu jiao yu 	义务教育	c=1 d=0.348192 t=389086
yi xia 	一下	c=1144 d=1.28159 t=389086
yi xia 	以下	c=18 d=1.77841e-126 t=389086
yi xia wu 	一下无	c=1 d=2.31404e-282 t=389086
yi xia zai 	一下在	c=1 d=8.42504e-308 t=389086
yi xia zi 	一下子	c=7 d=1.03475e-137 t=389086
yi xian 	一线	c=2 d=8.56998e-09 t=389086
yi xiang 	一箱	c=3 d=2.59718e-52 t=389086
yi xiao shi 	一小时	c=24 d=4.03356e-22 t=389086
yi xie 	一些	c=253 d=0.0885011 t=389086
yi xu qiu 	一需求	c=1 d=1.73994e-104 t=389086
yi yan 	一眼	c=18 d=4.78252e-29 t=389086
yi yan nan jin 	一言难尽	c=2 d=4.8132e-16 t=389086
yi yang 	一样	c=496 d=1.08524 t=389086
yi ye 	一页	c=3 d=3.07897e-54 t=389086
yi ye zhang mu 	一叶障目	c=1 d=9.58286e-176 t=389086
yi yi 	意义	c=20 d=1.71935e-05 t=389086
yi yong 	医用	c=1 d=1.5576e-272 t=389086
yi you 	已有	c=25 d=0.000322309 t=389086
yi you dian 	一有点	c=1 d=4.52585e-174 t=389086
yi yuan 	医院	c=14 d=2.63581e-108 t=389086
yi yue 	一月	c=4 d=8.88129e-17 t=389086
yi zhang 	一张	c=15 d=8.97178e-48 t=389086
yi zhang biao 	一张表	c=4 d=1.86445e-123 t=389086
yi zheng ge 	一整个	c=1 d=1.75276e-14 t=389086
yi zheng nian 	一整年	c=1 d=1.36465e-275 t=389086
yi zheng tian 	一整天	c=4 d=6.99749e-124 t=389086
yi zhi 	一直	c=369 d=1.60735 t=389086
yi zhi 	一致	c=14 d=9.16571e-06 t=389086
yi zhi 	已知	c=11 d=1.89276e-14 t=389086
yi zhi qian 	一之前	c=1 d=0.618783 t=389086
yi zhi shou 	一只手	c=1 d=1.96888e-264 t=389086
yi zhi yu 	以至于	c=1 d=2.49399e-75 t=389086
yi zhong 	一种	c=18 d=1.54491e-29 t=389086
yi zhou 	一周	c=48 d=7.28524e-10 t=389086
yi zhou nian 	一周年	c=1 d=1.36431e-37 t=389086
yi zhuan yan 	一转眼	c=1 d=5.3866e-46 t=389086
yi zi 	椅子	c=1 d=0.00355287 t=389086
yi zu 	一组	c=1 d=0 t=389086
yin 	因	c=1 d=0 t=389086
yin 	音	c=674 d=0.19047 t=389086
yin cang 	隐藏	c=24 d=4.84737e-11 t=389086
yin ci 	因此	c=16 d=1.74149e-232 t=389086
yin dao 	引导	c=3 d=5.02024e-129 t=389086
yin du 	印度	c=9 d=7.48098e-13 t=389086
yin gai 	因该	c=2 d=0 t=389086
yin hang 	银行	c=10 d=1.00343e-161 t=389086
yin hang ka 	银行卡	c=1 d=2.39449e-96 t=389086
yin hao 	引号	c=14 d=2.09823e-101 t=389086
yin liang 	音量	c=2 d=5.17821e-278 t=389086
yin liao 	饮料	c=1 d=0 t=389086
yin mou 	阴谋	c=1 d=7.38606e-54 t=389086
yin ni 	印尼	c=6 d=0.170444 t=389086
yin pin 	音频	c=1 d=2.20004e-129 t=389086
yin qian 	印签	c=1 d=7.88428e-116 t=389086
yin qing 	引擎	c=6 d=0 t=389086
yin ru 	引入	c=9 d=1.79158e-07 t=389086
yin shen 	隐身	c=1 d=0 t=389086
yin si 	隐私	c=3 d=1.20715e-09 t=389086
yin su 	因素	c=2 d=0 t=389086
yin wei 	因为	c=484 d=0.198893 t=389086
yin xiang 	印象	c=18 d=0.222017 t=389086
yin xiang 	音响	c=2 d=2.69938e-168 t=389086
yin xiang 	音箱	c=7 d=3.04325e-05 t=389086
yin xiao 	音效	c=1 d=1.3271e-94 t=389086
yin yang 	阴阳	c=1 d=1.34318e-118 t=389086
yin yong 	引用	c=5 d=8.5381e-259 t=389086
yin yong 	饮用	c=1 d=1.40981e-305 t=389086
yin yue 	音乐	c=31 d=9.61085e-34 t=389086
yin zhi 	音质	c=2 d=2.44561e-168 t=389086
ying 	影	c=1 d=2.82913e-29 t=389086
ying 	硬	c=11 d=0.302704 t=389086
ying 	营	c=2 d=3.28642e-27 t=389086
ying 	赢	c=17 d=2.51131 t=389086
ying bi 	硬币	c=2 d=1.34324e-236 t=389086
ying bian ma 	硬编码	c=6 d=1.42794e-132 t=389086
ying chou 	应酬	c=1 d=5.34304e-215 t=389086
ying de 	应得	c=2 d=0 t=389086
ying er 	婴儿	c=1 d=4.55861e-200 t=389086
ying gai 	应该	c=2185 d=0.787851 t=389086
ying gai mei 	应该没	c=1 d=8.39757e-299 t=389086
ying gai shi 	应该是	c=5 d=3.37114e-238 t=389086
ying jian 	硬件	c=3 d=0 t=389086
ying jie 	应届	c=8 d=1.44484e-94 t=389086
ying jie sheng 	应届生	c=5 d=5.70474e-74 t=389086
ying lai 	迎来	c=1 d=9.4962e-128 t=389086
ying le 	赢了	c=1 d=0 t=389086
ying li 	盈利	c=1 d=4.68547e-170 t=389086
ying pan 	硬盘	c=1 d=6.0927e-289 t=389086
ying rao 	萦绕	c=2 d=3.54396e-91 t=389086
ying she 	映射	c=105 d=0.695703 t=389086
ying sheng sheng 	硬生生	c=2 d=2.46048e-298 t=389086
ying wei 	应为	c=1 d=0 t=389086
ying wei da 	英伟达	c=1 d=3.52665e-151 t=389086
ying wen 	英文	c=66 d=5.14069e-27 t=389086
ying wen ming 	英文名	c=2 d=9.37615e-96 t=389086
ying wu 	鹦鹉	c=1 d=2.06376e-112 t=389086
ying xiang 	影响	c=202 d=0.0106648 t=389086
ying xiang li 	影响力	c=1 d=1.23453e-155 t=389086
ying xiang shang ban 	影响上班	c=1 d=3.03067e-162 t=389086
ying xiao 	营销	c=7 d=2.46413e-51 t=389086
ying xiong 	英雄	c=8 d=0.00103848 t=389086
ying yang 	营养	c=1 d=0 t=389086
ying yong 	应用	c=86 d=0.0460606 t=389086
ying yu 	英语	c=19 d=0.276505 t=389086
yong 	永	c=3 d=2.04963e-90 t=389086
yong 	用	c=2143 d=2.74031 t=389086
yong bao 	拥抱	c=1 d=3.31743e-108 t=389086
yong bu dao 	用不到	c=23 d=1.29826e-12 t=389086
yong bu gao 	用不高	c=1 d=2.05325e-52 t=389086
yong bu liao 	用不了	c=17 d=4.0169e-06 t=389086
yong bu shang 	用不上	c=9 d=1.54329e-46 t=389086
yong bu tai 	用不太	c=1 d=0 t=389086
yong bu tai shang 	用不太上	c=1 d=1.38957e-282 t=389086
yong bu wan 	用不完	c=4 d=1.33734e-08 t=389086
yong bu xi guan 	用不习惯	c=1 d=4.54666e-81 t=389086
yong bu yong 	用不用	c=2 d=3.18163e-28 t=389086
yong bu za shang 	用不咋上	c=2 d=1.1e-33 t=389086
yong chu 	用处	c=4 d=2.62624e-124 t=389086
yong dao 	用到	c=82 d=1.81137e-24 t=389086
yong de 	用得	c=8 d=1.81452e-39 t=389086
yong duo 	勇夺	c=1 d=2.26028e-182 t=389086
yong fa 	用法	c=2 d=0 t=389086
yong guo 	用过	c=51 d=4.57768e-14 t=389086
yong hu 	用户	c=615 d=1.92605 t=389086
yong hu liang 	用户量	c=1 d=2.47777e-204 t=389086
yong hu ming 	用户名	c=2 d=8.15829e-172 t=389086
yong hu shu 	用户数	c=1 d=0 t=389086
yong hu zu 	用户组	c=3 d=6.86193e-41 t=389086
yong ji 	拥挤	c=1 d=0 t=389086
yong jiu 	永久	c=3 d=1.18677e-132 t=389086
yong ju 	用具	c=1 d=6.58972e-06 t=389086
yong kuang 	用狂	c=1 d=0 t=389086
yong lai 	用来	c=65 d=0.0184074 t=389086
yong li 	用例	c=6 d=8.68946e-05 t=389086
yong li 	用力	c=2 d=3.18173e-146 t=389086
yong liang 	用量	c=1 d=7.03923e-47 t=389086
yong me 	用么	c=1 d=1.34571e-287 t=389086
yong na 	用那	c=1 d=4.79218e-229 t=389086
yong pin 	用品	c=1 d=1.27646e-195 t=389086
yong qian 	用钱	c=1 d=2.07594e-93 t=389086
yong ren yong 	用人用	c=1 d=1.04572e-261 t=389086
yong sha 	用啥	c=16 d=0.000300519 t=389086
yong shang 	用上	c=10 d=2.35498e-18 t=389086
yong shang le 	用上了	c=1 d=9.59786e-165 t=389086
yong shen me 	用什么	c=1 d=0 t=389086
yong shi 	勇士	c=1 d=9.7751e-145 t=389086
yong tu 	用途	c=3 d=2.38196e-05 t=389086
yong wan 	用完	c=3 d=1.46298e-35 t=389086
yong yi ge 	用一个	c=2 d=1.9801e-272 t=389086
yong you 	拥有	c=2 d=8.64938e-88 t=389086
yong yu 	用于	c=43 d=0.000169103 t=389086
yong yuan 	永远	c=14 d=1.88311e-05 t=389086
yong zai 	用在	c=4 d=1.14677e-111 t=389086
yong zhe 	勇者	c=1 d=0.000175127 t=389086
yong zhe 	用着	c=14 d=0.0387742 t=389086
yong zhe ge 	用这个	c=1 d=0 t=389086
yong zhong 	臃肿	c=4 d=3.83169e-127 t=389086
you 	优	c=3 d=4.9223e-15 t=389086
you 	又	c=431 d=0.477725 t=389086
you 	友	c=14 d=6.8116e-16 t=389086
you 	右	c=26 d=3.27706e-111 t=389086
you 	幼	c=1 d=0.218712 t=389086
you 	有	c=4033 d=3.82995 t=389086
you 	油	c=2 d=6.6079e-09 t=389086
you 	游	c=1 d=0 t=389086
you 	由	c=22 d=8.66454e-11 t=389086
you 	邮	c=5 d=3.80533e-134 t=389086
you a 	有啊	c=1 d=0 t=389086
you ban fa 	有办法	c=8 d=4.58532e-63 t=389086
you bei 	又被	c=1 d=4.40439e-295 t=389086
you bi yao 	有必要	c=2 d=3.58628e-113 t=389086
you bian 	右边	c=35 d=2.35819e-34 t=389086
you bing 	有病	c=1 d=1.32256e-230 t=389086
you bu 	又不	c=2 d=3.10855e-137 t=389086
you bu cha 	又不查	c=1 d=0 t=389086
you bu gui 	又不贵	c=1 d=0 t=389086
you bu shi 	又不是	c=25 d=1.01301e-05 t=389086
you bu xing 	又不行	c=1 d=1.62862e-179 t=389086
you cha jian 	有插件	c=1 d=3.82949e-179 t=389086
you ci 	有次	c=2 d=0 t=389086
you da lao 	有大老	c=2 d=1.59177e-292 t=389086
you dao li 	有道理	c=2 d=9.51338e-208 t=389086
you de 	又得	c=5 d=0.310367 t=389086
you de 	有的	c=15 d=1.11355e-30 t=389086
you dian 	优点	c=5 d=1.00672e-20 t=389086
you dian 	有点	c=503 d=1.71569 t=389086
you dian 	邮电	c=1 d=1.14982e-201 t=389086
you dian da 	有点大	c=1 d=0 t=389086
you dian duo 	有点多	c=1 d=0 t=389086
you dian gao 	有点高	c=1 d=6.09201e-82 t=389086
you dian man 	有点慢	c=2 d=0 t=389086
you dian mang 	有点忙	c=2 d=0 t=389086
you du 	有毒	c=1 d=3.72886e-248 t=389086
you duo shao 	有多少	c=1 d=0 t=389086
you er yuan 	幼儿园	c=1 d=0 t=389086
you fei 	邮费	c=1 d=2.31331e-102 t=389086
you gai 	有改	c=2 d=8.60934e-239 t=389086
you ge 	有个	c=175 d=0.117746 t=389086
you ge er 	有个儿	c=1 d=0 t=389086
you ge ren 	有个人	c=1 d=3.94426e-291 t=389086
you gei 	又给	c=1 d=4.81262e-279 t=389086
you guan 	有关	c=5 d=3.9473e-65 t=389086
you guan me 	有关么	c=1 d=6.6197e-265 t=389086
you gui 	有鬼	c=1 d=6.11655e-188 t=389086
you guo 	有过	c=1 d=2.29851e-291 t=389086
you hao 	友好	c=3 d=7.28129e-33 t=389086
you hen duo 	有很多	c=4 d=5.78036e-170 t=389086
you hua 	优化	c=240 d=0.181973 t=389086
you hui 	又会	c=1 d=0 t=389086
you ji 	游记	c=1 d=1.74153e-56 t=389086
you ji ge 	有几个	c=6 d=1.89205e-90 t=389086
you jian 	邮件	c=54 d=1.18432e-09 t=389086
you kai shi 	又开始	c=1 d=2.39222e-173 t=389086
you ke 	游客	c=16 d=3.51072e-50 t=389086
you ke neng 	有可能	c=55 d=0.0116203 t=389086
you ke tai 	游客态	c=37 d=8.53619e-22 t=389086
you ke yi 	又可以	c=1 d=0 t=389086
you kong 	有空	c=61 d=5.22668e-15 t=389086
you lai 	又来	c=5 d=1.72057e-90 t=389086
you liang 	有两	c=3 d=2.53901e-109 t=389086
you liang ci 	有两次	c=3 d=1.70032e-39 t=389086
you liang dian 	有两点	c=1 d=0 t=389086
you liang ge 	有两个	c=2 d=1.87372e-05 t=389086
you liang zhong 	有两种	c=1 d=4.5031e-56 t=389086
you ling 	幽灵	c=4 d=3.27694e-61 t=389086
you lv 	有绿	c=1 d=2.99224e-12 t=389086
you me 	有么	c=22 d=1.80058e-65 t=389086
you mei 	优美	c=7 d=1.14824e-38 t=389086
you mei 	又没	c=2 d=3.73848e-102 t=389086
you mei ruan 	有没软	c=1 d=0 t=389086
you mei you 	有没有	c=165 d=0.25284 t=389086
you meng 	友盟	c=1 d=6.17586e-37 t=389086
you na me 	有那么	c=1 d=0 t=389086
you na xie 	有哪些	c=6 d=1.35889e-49 t=389086
you pei you 	有陪有	c=1 d=2.8157e-120 t=389086
you qi 	尤其	c=10 d=1.65041e-12 t=389086
you qian 	有钱	c=19 d=0.300401 t=389086
you qing kuang 	有情况	c=1 d=3.95659e-122 t=389086
you qu 	有趣	c=1 d=1.32558e-198 t=389086
you qu bie 	有区别	c=1 d=4.93861e-142 t=389086
you quan 	有权	c=1 d=0 t=389086
you quan xian 	有权限	c=2 d=9.35573e-41 t=389086
you qun 	有群	c=3 d=4.01254e-52 t=389086
you ren 	有人	c=77 d=0.683601 t=389086
you ren hui 	有人会	c=1 d=0 t=389086
you ren you yu 	游刃有余	c=3 d=1.70583e-77 t=389086
you ri zhi 	有日志	c=3 d=2.02833e-26 t=389086
you sha 	有啥	c=186 d=1.06961 t=389086
you sha shu 	有啥书	c=1 d=3.67773e-262 t=389086
you sha yong 	有啥用	c=3 d=1.28824e-156 t=389086
you shang jiao 	右上角	c=2 d=4.43624e-174 t=389086
you shen me 	有什么	c=6 d=8.43583e-88 t=389086
you shi 	优势	c=6 d=2.21317e-52 t=389086
you shi 	又是	c=18 d=5.90612e-41 t=389086
you shi 	有事	c=3 d=8.04218e-114 t=389086
you shi 	有时	c=8 d=0.000101039 t=389086
you shi bai 	有失败	c=1 d=4.91752e-268 t=389086
you shi hou 	有时候	c=98 d=8.80818e-08 t=389086
you shi hui 	有时会	c=1 d=0 t=389086
you shi jian 	有时间	c=5 d=1.69219e-12 t=389086
you shou 	右手	c=10 d=1.77263e-264 t=389086
you shou dao 	有收到	c=2 d=2.15252e-78 t=389086
you shu chu 	有输出	c=1 d=1.62635e-192 t=389086
you shui 	有谁	c=1 d=1.56503e-181 t=389086
you shuo 	又说	c=1 d=4.07976e-306 t=389086
you suo 	有所	c=1 d=0 t=389086
you tai 	犹太	c=1 d=0 t=389086
you ti xing 	有提醒	c=1 d=6.15892e-181 t=389086
you tiao 	油条	c=2 d=8.61044e-270 t=389086
you wan zheng 	有完整	c=1 d=1.6761e-76 t=389086
you wen ti 	有问题	c=29 d=6.82444e-06 t=389086
you wen ti me 	有问题么	c=1 d=2.99013e-180 t=389086
you wo 	有我	c=2 d=7.02442e-81 t=389086
you wu 	有无	c=1 d=0.0266491 t=389086
you xi 	游戏	c=98 d=2.21563 t=389086
you xi ji 	游戏机	c=1 d=2.7973e-278 t=389086
you xi qun 	游戏群	c=1 d=2.7588e-27 t=389086
you xia 	右下	c=1 d=1.92836e-49 t=389086
you xia jiao 	右下角	c=1 d=2.67146e-119 t=389086
you xian 	优先	c=44 d=4.50645e-06 t=389086
you xian 	有线	c=11 d=1.14121e-53 t=389086
you xian 	有限	c=5 d=1.17086e-06 t=389086
you xian ji 	优先级	c=83 d=4.53758e-49 t=389086
you xiang 	邮箱	c=38 d=7.85728e-100 t=389086
you xiao 	有效	c=19 d=1.41861e-15 t=389086
you xie 	有些	c=60 d=0.000884932 t=389086
you xiu 	优秀	c=1 d=2.89861e-226 t=389086
you xu qiu 	有需求	c=1 d=0 t=389086
you yan chi 	有延迟	c=5 d=2.05192e-15 t=389086
you yao 	又要	c=35 d=1.14077e-20 t=389086
you yi 	有一	c=5 d=2.68577e-123 t=389086
you yi ben 	有一本	c=1 d=0 t=389086
you yi ci 	有一次	c=2 d=8.11143e-156 t=389086
you yi dian dian 	有一点点	c=1 d=0.0424257 t=389086
you yi shuo yi 	有一说一	c=5 d=1.8661e-104 t=389086
you yi tian 	有一天	c=4 d=2.01527e-97 t=389086
you yi xie 	有一些	c=37 d=0.00458484 t=389086
you yi zhang 	有一张	c=1 d=0 t=389086
you yong 	有用	c=35 d=1.11956e-24 t=389086
you yong chi 	游泳池	c=1 d=1.39288e-163 t=389086
you you 	又有	c=15 d=6.4303e-12 t=389086
you yu 	犹豫	c=5 d=1.63706e-181 t=389086
you yu 	由于	c=9 d=3.23308e-11 t=389086
you yu 	鱿鱼	c=0 d=4.57864e-135 t=389086
you yue gan 	优越感	c=1 d=1.58205e-220 t=389086
you zai 	又在	c=3 d=1.13219e-137 t=389086
you zai yong 	有在用	c=1 d=1.16514e-239 t=389086
you zhe 	有着	c=3 d=1.91167e-270 t=389086
you zhe ge 	有这个	c=9 d=4.85976e-41 t=389086
you zhe wan yi 	有这玩意	c=1 d=9.11077e-23 t=389086
you zhi 	右值	c=1 d=1.85742e-108 t=389086
you zhong 	有种	c=3 d=1.77081e-105 t=389086
you zi duan 	有自断	c=1 d=6.46321e-72 t=389086
you zou 	游走	c=1 d=2.54827e-93 t=389086
yu 	与	c=20 d=1.38154e-67 t=389086
yu 	于	c=26 d=6.03711e-05 t=389086
yu 	域	c=1 d=4.17217e-11 t=389086
yu 	渝	c=1 d=3.95498e-176 t=389086
yu 	羽	c=1 d=7.90494e-88 t=389086
yu 	语	c=2 d=1.09728e-239 t=389086
yu 	雨	c=8 d=6.26818e-51 t=389086
yu 	预	c=2 d=1.46849e-44 t=389086
yu 	鱼	c=17 d=2.25212e-22 t=389086
yu ce 	预测	c=3 d=2.39526e-61 t=389086
yu cheng er 	与成儿	c=1 d=0 t=389086
yu chun 	愚蠢	c=3 d=7.89233e-128 t=389086
yu chuo pin 	于绰频	c=1 d=0 t=389086
yu dao 	遇到	c=90 d=0.000593188 t=389086
yu dao ge 	遇到个	c=1 d=4.25197e-28 t=389086
yu dao guo 	遇到过	c=13 d=0.0017643 t=389086
yu dao le 	遇到了	c=1 d=0 t=389086
yu ding 	预定	c=2 d=1.35657e-143 t=389086
yu ding yi 	于定义	c=3 d=1.06697e-134 t=389086
yu e 	余额	c=5 d=1.99637e-45 t=389086
yu fa 	语法	c=38 d=0.1388 t=389086
yu fa tang 	语法糖	c=1 d=7.09622e-83 t=389086
yu fou 	与否	c=1 d=0 t=389086
yu gu 	预估	c=1 d=0 t=389086
yu ji 	预计	c=12 d=0.17552 t=389086
yu jia 	瑜伽	c=1 d=1.23816e-307 t=389086
yu jia zai 	预加载	c=1 d=2.06229e-133 t=389086
yu ju 	语句	c=14 d=3.68859e-54 t=389086
yu lan 	预览	c=110 d=0.00036159 t=389086
yu le 	娱乐	c=2 d=1.32093e-98 t=389086
yu liao 	预料	c=2 d=1.36338e-29 t=389086
yu liu 	预留	c=1 d=0 t=389086
yu lun 	舆论	c=1 d=5.06367e-289 t=389086
yu ming 	域名	c=65 d=3.39071e-21 t=389086
yu qi 	逾期	c=1 d=2.07963e-202 t=389086
yu qi 	预期	c=65 d=1.04252e-78 t=389086
yu ren jie 	愚人节	c=2 d=2.10425e-303 t=389086
yu rong fu 	羽绒服	c=3 d=4.87685e-104 t=389086
yu san 	雨伞	c=1 d=2.62492e-265 t=389086
yu shang 	遇上	c=1 d=1.04149e-184 t=389086
yu shi 	于是	c=1 d=3.35466e-151 t=389086
yu shui 	雨水	c=1 d=9.27811e-90 t=389086
yu suan 	预算	c=12 d=2.16043e-33 t=389086
yu wang 	欲望	c=1 d=0 t=389086
yu wen 	语文	c=3 d=0 t=389086
yu xia 	余下	c=2 d=1.75649e-274 t=389086
yu xian 	预先	c=2 d=3.92869e-127 t=389086
yu yan 	语言	c=107 d=0.844743 t=389086
yu yi 	寓意	c=4 d=1.88272e-87 t=389086
yu yi 	语义	c=5 d=4.52109e-191 t=389086
yu yin 	语音	c=4 d=1.21256e-179 t=389086
yu yue 	预约	c=9 d=2.95331e-05 t=389086
yu zhi 	阈值	c=3 d=3.14621e-83 t=389086
yuan 	元	c=33 d=0.425283 t=389086
yuan 	原	c=14 d=7.66007e-12 t=389086
yuan 	员	c=14 d=5.8164e-08 t=389086
yuan 	园	c=6 d=3.41752e-46 t=389086
yuan 	圆	c=1 d=2.53644e-244 t=389086
yuan 	愿	c=1 d=4.84329e-148 t=389086
yuan 	源	c=83 d=0.606531 t=389086
yuan 	远	c=23 d=0.000167581 t=389086
yuan bao 	元宝	c=1 d=3.37104e-267 t=389086
yuan ben 	原本	c=2 d=2.28857e-05 t=389086
yuan chang 	原厂	c=3 d=0 t=389086
yuan cheng 	远程	c=24 d=2.32459e-71 t=389086
yuan dai ma 	原代码	c=1 d=1.62479e-122 t=389086
yuan di 	原地	c=1 d=5.22617e-102 t=389086
yuan gong 	员工	c=17 d=7.56041e-05 t=389086
yuan gu 	远古	c=1 d=2.36922e-177 t=389086
yuan jiao 	圆角	c=3 d=0 t=389086
yuan lai 	原来	c=62 d=4.54695e-23 t=389086
yuan li 	原理	c=22 d=4.57738e-72 t=389086
yuan li 	远离	c=1 d=0.50409 t=389086
yuan liu 	元流	c=1 d=1.59603e-59 t=389086
yuan ma 	源码	c=52 d=1.22924e-107 t=389086
yuan meng 	元梦	c=1 d=1.4481e-238 t=389086
yuan qi 	怨气	c=1 d=1.14401e-259 t=389086
yuan qu 	园区	c=3 d=4.79234e-200 t=389086
yuan run 	圆润	c=4 d=5.80665e-155 t=389086
yuan shen 	元神	c=2 d=1.85559e-67 t=389086
yuan shen 	猿神	c=9 d=1.52557e-42 t=389086
yuan sheng 	原声	c=2 d=1.26601e-304 t=389086
yuan sheng 	原生	c=6 d=0.594521 t=389086
yuan shi 	原始	c=84 d=2.87393e-08 t=389086
yuan su 	元素	c=20 d=2.63985e-126 t=389086
yuan tou 	源头	c=2 d=4.73997e-159 t=389086
yuan wei 	原味	c=1 d=0 t=389086
yuan wen jian 	源文件	c=1 d=7.00612e-256 t=389086
yuan xian 	原先	c=45 d=1.34427e-10 t=389086
yuan xian shi 	原先是	c=1 d=1.37663e-172 t=389086
yuan xiao 	元宵	c=2 d=9.99936e-267 t=389086
yuan xin 	圆心	c=1 d=5.29506e-109 t=389086
yuan xing 	原型	c=1 d=0 t=389086
yuan xing 	圆形	c=3 d=5.13382e-10 t=389086
yuan xing tu 	原型图	c=2 d=1.92451e-15 t=389086
yuan yi 	愿意	c=1 d=0 t=389086
yuan yin 	原因	c=416 d=0.0352623 t=389086
yuan you 	原油	c=8 d=6.354e-48 t=389086
yuan yuan 	远远	c=1 d=0 t=389086
yuan ze 	原则	c=1 d=2.33378e-88 t=389086
yuan zhong 	冤种	c=1 d=1.22425e-233 t=389086
yuan zhuang 	原装	c=1 d=1.50035e-302 t=389086
yuan zi 	原子	c=4 d=0.00030659 t=389086
yuan zi dan 	原子弹	c=3 d=2.7151e-05 t=389086
yuan zui 	原罪	c=2 d=2.4551e-96 t=389086
yuan zuo zhe 	原作者	c=1 d=4.97028e-129 t=389086
yue 	乐	c=2 d=0 t=389086
yue 	月	c=277 d=5.30778e-06 t=389086
yue 	粤	c=1 d=5.94025e-285 t=389086
yue 	约	c=1 d=1.36912e-284 t=389086
yue 	越	c=36 d=1.9216 t=389086
yue bing 	月饼	c=1 d=8.82204e-144 t=389086
yue da 	越大	c=3 d=0 t=389086
yue di 	月底	c=0 d=7.06209e-233 t=389086
yue ding 	约定	c=6 d=1.18394e-104 t=389086
yue ding su cheng 	约定俗成	c=1 d=3.40593e-153 t=389086
yue du 	阅读	c=6 d=4.8214e-36 t=389086
yue du qi 	阅读器	c=1 d=2.48571e-271 t=389086
yue duo 	越多	c=7 d=3.86137e-12 t=389086
yue gao 	越高	c=2 d=0 t=389086
yue hao 	越好	c=1 d=3.30514e-35 t=389086
yue hui 	约会	c=1 d=3.08506e-136 t=389086
yue ka 	月卡	c=1 d=1.01845e-303 t=389086
yue kan 	越看	c=1 d=1.24707e-215 t=389086
yue kuai 	越快	c=1 d=2.73056e-288 t=389086
yue lai yue 	越来越	c=2 d=2.99326e-16 t=389086
yue lai yue duo 	越来越多	c=1 d=0 t=389086
yue nan 	越南	c=1 d=2.50539e-158 t=389086
yue shao 	越少	c=1 d=8.61539e-218 t=389086
yue xiang 	越想	c=3 d=6.65325e-60 t=389086
yue yu 	越狱	c=2 d=1.86755e-25 t=389086
